,t_givens,t_poldec,t_newton,s_givens,s_poldec,hermDist_givens,hermDist_poldec,hermDist_newton
20,0.12291,0.1233,9.85E-04,176.25,176,1.25E-14,1.27E-14,1.70E-15
40,0.66246,0.63795,1.32E-03,182.38,182.75,4.92E-14,4.91E-14,5.06E-15
60,6.4136,6.6851,2.07E-03,420.38,420.5,1.16E-13,1.16E-13,8.80E-15
80,16.682,16.58,3.56E-03,446,447,1.97E-13,1.94E-13,1.20E-14
100,41.501,40.295,4.65E-03,551.5,551.75,3.13E-13,3.16E-13,1.63E-14
,,,,,,,,
,,,,,,,,
,,,,,,,,
